# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416392307;25907.92;4.28;-25086.72
axle;60;1416392367;-8948.18;0.30;9000.43
axle;60;1416392427;-127.81;0.25;99.65
axle;60;1416392487;194.60;0.25;90.84
axle;60;1416392547;-2.77;0.18;6.60
axle;60;1416392607;-19946.65;0.17;25.30
axle;60;1416392667;2256.28;0.15;7.71
axle;60;1416392727;6.25;0.12;6.43
axle;60;1416392787;-14.27;0.17;6.58
axle;60;1416392847;6870.78;0.13;7.35
axle;60;1416392907;-42966.05;0.18;20.41
axle;60;1416392967;22345.09;0.18;13.82
